Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
7,0,SO_0,0,0,0,40.7439,-73.9899,60
7,0,PI_2,24,137.05,2,40.7417,-73.992,2
7,0,DR_2,24,213.525,0,40.7272,-73.9937,32
7,0,PI_10,72,258.65,0,40.7346,-73.9949,10
7,0,PI_22,200,346.25,0,40.7479,-73.9837,22
7,0,DR_22,200,387.425,0,40.7555,-73.9921,52
7,0,PI_24,220,425.575,2,40.7493,-73.9838,24
7,0,DR_10,72,548.2,3,40.7239,-74.001,40
7,0,DR_24,220,667.45,3,40.7457,-73.9938,54
7,1,SO_0,0,0,0,40.7439,-73.9899,60
7,1,PI_6,48,171.45,0,40.7562,-73.9924,6
7,1,PI_12,90,219.725,0,40.7569,-73.9857,12
7,1,PI_17,146,302.15,0,40.74,-73.9857,17
7,1,DR_12,90,362.325,0,40.7294,-73.9914,42
7,1,PI_27,244,442,2,40.7151,-73.9924,27
7,1,DR_6,48,579.85,3,40.7516,-73.9711,36
7,1,DR_17,146,640.5,3,40.7496,-73.9879,47
7,1,DR_27,244,686.475,3,40.7423,-73.9908,57
7,2,SO_0,0,0,0,40.7439,-73.9899,60
7,2,PI_3,40,195.525,0,40.7667,-73.9832,3
7,2,DR_3,40,235.375,0,40.7576,-73.9907,33
7,2,PI_7,58,269.75,0,40.762,-74.0017,7
7,2,DR_7,58,331.45,0,40.7497,-73.9876,37
7,2,PI_25,236,366.275,0,40.7564,-73.9902,25
7,2,DR_25,236,413.725,3,40.75,-73.9825,55
7,2,PI_20,178,427.8,2,40.7478,-73.9852,20
7,2,PI_29,280,456.7,2,40.7535,-73.9898,29
7,2,DR_29,280,522.375,3,40.7628,-73.9751,59
7,2,DR_20,178,617.7,3,40.7434,-73.9963,50
7,3,SO_0,0,0,0,40.7439,-73.9899,60
7,3,PI_4,42,175.325,0,40.7334,-74.003,4
7,3,PI_9,66,217.7,0,40.7391,-74.0031,9
7,3,PI_14,110,254.175,0,40.7431,-73.9964,14
7,3,PI_13,108,295.75,2,40.7488,-74.0069,13
7,3,DR_14,110,354.9,0,40.7381,-74.0008,44
7,3,PI_26,238,399.625,2,40.735,-73.9918,26
7,3,DR_26,238,450.2,3,40.7329,-73.9862,56
7,3,DR_13,108,530.825,3,40.7512,-73.9725,43
7,3,DR_9,66,570.05,3,40.758,-73.9756,39
7,3,DR_4,42,597,3,40.759,-73.9785,34
7,4,SO_0,0,0,0,40.7439,-73.9899,60
7,4,PI_5,44,143.85,2,40.7496,-73.9953,5
7,4,PI_0,0,156.225,0,40.7509,-73.9927,0
7,4,PI_8,60,215.475,0,40.7581,-73.9752,8
7,4,PI_11,80,232.4,2,40.757,-73.9784,11
7,4,DR_0,0,252.9,0,40.7605,-73.9802,30
7,4,PI_18,156,266.65,2,40.7607,-73.9836,18
7,4,DR_18,156,295.475,3,40.7581,-73.9779,48
7,4,PI_19,170,342.575,0,40.7531,-73.9855,19
7,4,DR_5,44,396.475,0,40.769,-73.9822,35
7,4,DR_19,170,453.075,3,40.761,-74.0023,49
7,4,DR_8,60,527.1,3,40.7492,-73.9878,38
7,4,DR_11,80,579.325,3,40.7425,-73.9782,41
7,5,SO_0,0,0,0,40.7439,-73.9899,60
7,5,PI_1,6,202.75,0,40.7224,-73.9971,1
7,5,PI_16,134,226.9,2,40.7256,-73.9921,16
7,5,PI_15,120,233.6,2,40.7269,-73.9915,15
7,5,DR_15,120,250.625,0,40.7305,-73.9901,45
7,5,PI_21,196,282.825,2,40.7267,-73.9941,21
7,5,DR_16,134,330.525,0,40.7353,-73.9984,46
7,5,PI_23,208,354.075,0,40.7398,-74.0024,23
7,5,DR_1,6,435.075,3,40.7534,-73.9853,31
7,5,PI_28,262,475.775,2,40.748,-73.9766,28
7,5,DR_21,196,519.525,3,40.7416,-73.9752,51
7,5,DR_23,208,630.7,3,40.7715,-73.9889,53
7,5,DR_28,262,772.075,3,40.7352,-74.0018,58
