,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,min_travel_time
214594,2015-07-01 16:00:50,2015-07-01 16:05:47,1,0.91,-74.00397491455078,40.707496643066406,-73.9947967529297,40.71842193603516,297
214595,2015-07-01 16:00:51,2015-07-01 16:14:09,1,1.53,-73.99948120117188,40.72153091430664,-73.9837188720703,40.73012924194336,798
214600,2015-07-01 16:00:52,2015-07-01 16:11:52,1,0.79,-73.99526977539062,40.7393913269043,-73.9859619140625,40.743690490722656,660
214606,2015-07-01 16:00:54,2015-07-01 16:13:45,1,0.81,-73.97864532470702,40.74909210205078,-73.99115753173827,40.75006866455078,771
214608,2015-07-01 16:00:55,2015-07-01 16:12:29,1,1.3,-73.99534606933594,40.72815704345703,-73.99212646484375,40.74370574951172,694
214610,2015-07-01 16:00:56,2015-07-01 16:12:26,1,0.8,-73.98008728027342,40.75492477416992,-73.97915649414062,40.7640495300293,690
214611,2015-07-01 16:00:56,2015-07-01 16:30:08,1,3.5,-73.98648834228516,40.76243209838867,-74.00374603271484,40.72256088256836,1752
214612,2015-07-01 16:00:56,2015-07-01 16:14:06,1,1.48,-73.9940414428711,40.751171112060554,-73.97808837890625,40.76396942138672,790
214613,2015-07-01 16:00:56,2015-07-01 16:06:37,1,0.83,-73.99366760253906,40.72116088867188,-74.00023651123048,40.72854995727539,341
214614,2015-07-01 16:00:56,2015-07-01 16:15:30,1,1.07,-73.97554016113281,40.75029754638672,-73.9906997680664,40.75117874145508,874
214615,2015-07-01 16:00:56,2015-07-01 16:09:44,1,0.83,-73.97142791748048,40.75078582763672,-73.97360229492188,40.76041030883789,528
214617,2015-07-01 16:00:56,2015-07-01 16:12:44,1,1.23,-73.99463653564453,40.725688934326165,-73.985107421875,40.741661071777344,708
214619,2015-07-01 16:00:57,2015-07-01 16:11:46,1,1.0,-73.97122955322266,40.761245727539055,-73.98027038574217,40.74855422973633,649
214621,2015-07-01 16:00:57,2015-07-01 16:17:15,1,0.83,-73.97898864746092,40.74518966674805,-73.99115753173827,40.74905014038086,978
214627,2015-07-01 16:00:58,2015-07-01 16:06:21,1,0.72,-73.97062683105469,40.75811004638672,-73.97322845458984,40.749610900878906,323
214625,2015-07-01 16:00:58,2015-07-01 16:07:00,1,1.3,-74.00033569335938,40.74808883666992,-74.00703430175781,40.73306274414063,362
214630,2015-07-01 16:00:59,2015-07-01 16:41:36,2,7.92,-74.01399993896483,40.713680267333984,-73.9664306640625,40.75843048095703,2437
214629,2015-07-01 16:00:59,2015-07-01 16:32:44,1,3.3,-73.98689270019531,40.75762176513672,-74.00115203857422,40.71992874145508,1905
214632,2015-07-01 16:01:00,2015-07-01 16:15:06,3,1.14,-73.97955322265625,40.74938583374024,-73.97930908203125,40.76089096069336,846
214637,2015-07-01 16:01:02,2015-07-01 16:20:19,1,2.0,-73.99933624267578,40.72682189941406,-74.00556945800781,40.748401641845696,1157
214638,2015-07-01 16:01:02,2015-07-01 16:08:51,1,0.8,-73.98512268066406,40.747753143310554,-73.97624969482422,40.75127410888672,469
214639,2015-07-01 16:01:02,2015-07-01 16:08:47,1,0.6,-73.98168182373048,40.758804321289055,-73.97521209716798,40.76326751708984,465
214640,2015-07-01 16:01:02,2015-07-01 16:04:08,1,0.4,-73.99427795410156,40.74585723876953,-74.00019836425781,40.742839813232415,186
214642,2015-07-01 16:01:02,2015-07-01 16:11:00,1,0.8,-73.99237823486328,40.748443603515625,-73.98123931884764,40.74200439453125,598
214644,2015-07-01 16:01:02,2015-07-01 16:09:18,2,1.11,-73.99469757080078,40.72582244873047,-73.99468994140625,40.725830078125,496
214645,2015-07-01 16:01:03,2015-07-01 16:13:20,1,0.8,-73.97631072998048,40.74843978881836,-73.98758697509764,40.751495361328125,737
214648,2015-07-01 16:01:03,2015-07-01 16:03:23,1,0.44,-73.98609924316406,40.745220184326165,-73.98779296875,40.739700317382805,140
214650,2015-07-01 16:01:04,2015-07-01 16:10:11,1,1.0,-73.96819305419923,40.75101852416992,-73.98203277587889,40.75383377075195,547
214653,2015-07-01 16:01:05,2015-07-01 16:24:46,1,1.6,-74.00455474853516,40.74169158935546,-73.9861831665039,40.743045806884766,1421
214657,2015-07-01 16:01:06,2015-07-01 16:19:57,1,1.9,-74.00559997558595,40.72867584228516,-74.01038360595702,40.7091178894043,1131
214658,2015-07-01 16:01:06,2015-07-01 16:07:16,1,1.05,-73.99922943115233,40.74974060058594,-74.00824737548828,40.73722076416016,370
214656,2015-07-01 16:01:06,2015-07-01 16:07:28,2,0.9,-73.99977111816406,40.73333740234375,-73.98896789550781,40.72687911987305,382
214660,2015-07-01 16:01:07,2015-07-01 16:18:00,1,1.1,-73.9888916015625,40.741207122802734,-74.00691223144531,40.748836517333984,1013
214662,2015-07-01 16:01:08,2015-07-01 16:10:38,1,1.2,-73.9660415649414,40.761749267578125,-73.98301696777342,40.76106262207031,570
214666,2015-07-01 16:01:10,2015-07-01 16:19:04,1,1.46,-73.99131774902342,40.7498893737793,-73.97187042236328,40.74488067626953,1074
214667,2015-07-01 16:01:11,2015-07-01 16:10:56,1,0.7,-74.01493072509764,40.715328216552734,-74.01129150390625,40.708110809326165,585
214669,2015-07-01 16:01:12,2015-07-01 16:05:00,1,0.5,-73.98363494873048,40.7445068359375,-73.9782943725586,40.751289367675774,228
214670,2015-07-01 16:01:12,2015-07-01 16:29:00,4,5.1,-73.98973846435547,40.74138641357422,-74.01251983642578,40.70158767700195,1668
214671,2015-07-01 16:01:12,2015-07-01 16:17:21,1,1.81,-73.98403930664062,40.759395599365234,-73.98462677001953,40.74113845825195,969
