Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
7,4,PI_27,57844,57972.5,0,40.7151,-73.9924,27
7,4,DR_10,57672,58038.2,3,40.7239,-74.001,40
7,4,DR_21,57796,58158.2,3,40.7416,-73.9752,51
7,4,DR_27,57844,58232.4,3,40.7423,-73.9908,57
7,5,SO_0,0,0,0,40.7439,-73.9899,60
7,5,PI_5,57644,57743.9,2,40.7496,-73.9953,5
7,5,PI_0,57600,57756.2,0,40.7509,-73.9927,0
7,5,PI_8,57660,57815.5,0,40.7581,-73.9752,8
7,5,PI_11,57680,57832.4,2,40.757,-73.9784,11
7,5,DR_0,57600,57852.9,0,40.7605,-73.9802,30
7,5,PI_18,57756,57866.7,2,40.7607,-73.9836,18
7,5,DR_5,57644,57906.3,0,40.769,-73.9822,35
7,5,DR_18,57756,57952.5,0,40.7581,-73.9779,48
7,5,PI_29,57880,57997.6,2,40.7535,-73.9898,29
7,5,DR_29,57880,58063.3,3,40.7628,-73.9751,59
7,5,DR_11,57680,58141.8,3,40.7425,-73.9782,41
7,5,DR_8,57660,58194.3,3,40.7492,-73.9878,38
