Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,LocationID
5,2,5,DR_1,6,370.675,0,31
5,3,0,PI_19,170,338.45,0,19
5,3,0,PI_20,178,0,2,20
5,3,0,DR_20,178,0,3,50
5,3,0,PI_14,110,0,2,14
5,3,0,PI_13,108,0,2,13
5,3,0,DR_13,108,0,3,43
5,3,0,DR_18,156,0,3,48
5,3,0,DR_19,170,0,3,49
5,3,0,DR_14,110,0,3,44
5,3,1,DR_15,120,342.45,0,45
5,3,1,DR_16,134,0,3,46
5,3,1,PI_23,208,0,2,23
5,3,1,PI_27,244,0,2,27
5,3,1,DR_27,244,0,3,57
5,3,1,DR_17,146,0,3,47
5,3,1,DR_23,208,0,3,53
5,3,2,PI_22,200,303.25,0,22
5,3,2,PI_26,238,0,2,26
5,3,2,DR_26,238,0,3,56
5,3,2,PI_21,196,0,2,21
5,3,2,DR_12,90,0,3,42
5,3,2,DR_21,196,0,3,51
5,3,2,DR_22,200,0,3,52
5,3,3,DR_4,42,326.725,0,34
5,3,3,PI_24,220,0,2,24
5,3,3,DR_24,220,0,3,54
5,3,3,PI_25,236,0,2,25
5,3,3,DR_9,66,0,3,39
5,3,3,DR_25,236,0,3,55
5,3,3,PI_7,58,0,2,7
5,3,3,DR_7,58,0,3,37
5,3,4,DR_11,80,332.375,0,41
5,3,4,DR_6,48,0,3,36
5,3,5,DR_1,6,370.675,0,31
6,0,0,PI_20,178,369.925,0,20
6,0,0,DR_20,178,0,3,50
6,0,0,DR_18,156,0,3,48
6,0,0,DR_19,170,0,3,49
6,0,1,DR_16,134,375.725,0,46
6,0,1,PI_23,208,0,2,23
6,0,1,PI_21,196,0,2,21
6,0,1,DR_21,196,0,3,51
6,0,1,DR_17,146,0,3,47
6,0,1,DR_23,208,0,3,53
6,0,2,PI_26,238,373.35,0,26
6,0,2,DR_26,238,0,3,56
6,0,2,DR_12,90,0,3,42
6,0,2,DR_22,200,0,3,52
6,0,3,PI_24,220,356.375,0,24
6,0,3,DR_24,220,0,3,54
6,0,3,PI_27,244,0,2,27
6,0,3,DR_27,244,0,3,57
6,0,3,DR_9,66,0,3,39
6,0,4,DR_6,48,381.25,0,36
6,0,4,PI_28,262,0,2,28
6,0,4,PI_25,236,0,2,25
6,0,4,DR_25,236,0,3,55
6,0,4,PI_29,280,0,2,29
6,0,4,DR_29,280,0,3,59
6,0,4,DR_28,262,0,3,58
6,0,5,DR_1,6,370.675,0,31
6,0,5,PI_7,58,0,2,7
6,0,5,DR_7,58,0,3,37
6,0,5,PI_14,110,0,2,14
6,0,5,PI_13,108,0,2,13
6,0,5,DR_14,110,0,3,44
6,0,5,DR_13,108,0,3,43
